0: BC_OP_CONSTANT
1: BC_OP_NIL
2: BC_OP_TRUE
3: BC_OP_FALSE
4: BC_OP_POP
5: BC_OP_GET_GLOBAL
6: BC_OP_DEFINE_GLOBAL
7: BC_OP_SET_GLOBAL
8: BC_OP_DEFINE_FUNCTION
9: BC_OP_GET_PROPERTY
10: BC_OP_SET_PROPERTY
11: BC_OP_GET_INDEX
12: BC_OP_SET_INDEX
13: BC_OP_LOAD_FUNCTION
14: BC_OP_SLICE
15: BC_OP_ADD
16: BC_OP_SUB
17: BC_OP_MUL
18: BC_OP_DIV
19: BC_OP_MOD
20: BC_OP_NEGATE
21: BC_OP_EQUAL
22: BC_OP_NOT_EQUAL
23: BC_OP_GREATER
24: BC_OP_GREATER_EQUAL
25: BC_OP_LESS
26: BC_OP_LESS_EQUAL
27: BC_OP_BIT_AND
28: BC_OP_BIT_OR
29: BC_OP_BIT_XOR
30: BC_OP_BIT_NOT
31: BC_OP_SHIFT_LEFT
32: BC_OP_SHIFT_RIGHT
33: BC_OP_NOT
34: BC_OP_TRUTHY
35: BC_OP_JUMP
36: BC_OP_JUMP_IF_FALSE
37: BC_OP_CALL
38: BC_OP_CALL_METHOD
39: BC_OP_ARRAY
40: BC_OP_TUPLE
41: BC_OP_DICT
42: BC_OP_PRINT
43: BC_OP_EXEC_AST_STMT
44: BC_OP_RETURN
45: BC_OP_PUSH_ENV
46: BC_OP_POP_ENV
47: BC_OP_DUP
48: BC_OP_ARRAY_LEN
49: BC_OP_BREAK
50: BC_OP_CONTINUE
51: BC_OP_LOOP_BACK
52: BC_OP_IMPORT
53: BC_OP_CLASS
54: BC_OP_METHOD
55: BC_OP_INHERIT
56: BC_OP_SETUP_TRY
57: BC_OP_END_TRY
58: BC_OP_RAISE
59: BC_OP_GET_LOCAL
60: BC_OP_SET_LOCAL
61: BC_OP_GPU_POLL_EVENTS
62: BC_OP_GPU_WINDOW_SHOULD_CLOSE
63: BC_OP_GPU_GET_TIME
64: BC_OP_GPU_KEY_PRESSED
65: BC_OP_GPU_KEY_DOWN
66: BC_OP_GPU_MOUSE_POS
67: BC_OP_GPU_MOUSE_DELTA
68: BC_OP_GPU_UPDATE_INPUT
69: BC_OP_GPU_BEGIN_COMMANDS
70: BC_OP_GPU_END_COMMANDS
71: BC_OP_GPU_CMD_BEGIN_RP
72: BC_OP_GPU_CMD_END_RP
73: BC_OP_GPU_CMD_DRAW
74: BC_OP_GPU_CMD_BIND_GP
75: BC_OP_GPU_CMD_BIND_DS
76: BC_OP_GPU_CMD_SET_VP
77: BC_OP_GPU_CMD_SET_SC
78: BC_OP_GPU_CMD_BIND_VB
79: BC_OP_GPU_CMD_BIND_IB
80: BC_OP_GPU_CMD_DRAW_IDX
81: BC_OP_GPU_SUBMIT_SYNC
82: BC_OP_GPU_ACQUIRE_IMG
83: BC_OP_GPU_PRESENT
84: BC_OP_GPU_WAIT_FENCE
85: BC_OP_GPU_RESET_FENCE
86: BC_OP_GPU_UPDATE_UNIFORM
87: BC_OP_GPU_CMD_PUSH_CONST
88: BC_OP_GPU_CMD_DISPATCH
